"accX","accY","accZ"
-0.04394531,0.1760254,-1.010254
-0.04418945,0.1762695,-1.01001
-0.04394531,0.1760254,-1.011475
-0.04370117,0.1755371,-1.012207
-0.04394531,0.1762695,-1.01123
-0.04467773,0.177002,-1.010498
-0.0456543,0.1772461,-1.010742
-0.0456543,0.1767578,-1.010986
-0.04541016,0.1765137,-1.011475
-0.0456543,0.1762695,-1.011475
-0.04541016,0.1762695,-1.011719
-0.04467773,0.1760254,-1.012207
-0.04443359,0.1760254,-1.011475
-0.04443359,0.1762695,-1.011963
-0.04418945,0.1755371,-1.010742
-0.04370117,0.1755371,-1.01123
-0.04370117,0.1760254,-1.012451
-0.04467773,0.1757813,-1.012695
-0.04541016,0.1750488,-1.012207
-0.04467773,0.1745605,-1.01123
-0.04418945,0.1755371,-1.010742
-0.04541016,0.1760254,-1.011963
-0.04541016,0.1757813,-1.012451
-0.04541016,0.1762695,-1.013184
-0.046875,0.1779785,-1.012451
-0.05078125,0.1833496,-1.011963
-0.05078125,0.1833496,-1.01001
-0.04638672,0.1767578,-1.01001
-0.04589844,0.1760254,-1.010254
-0.046875,0.1794434,-1.011963
-0.0456543,0.1789551,-1.01001
-0.04418945,0.1760254,-1.010986
-0.04516602,0.1743164,-1.011719
-0.046875,0.1750488,-1.013916
-0.046875,0.1765137,-1.014648
-0.04541016,0.1774902,-1.012451
-0.04614258,0.1774902,-1.012451
-0.04663086,0.1784668,-1.012695
-0.04638672,0.1791992,-1.009766
-0.04614258,0.1791992,-1.010986
-0.04516602,0.1782227,-1.010986
-0.04467773,0.1777344,-1.009277
-0.04516602,0.1777344,-1.011719
-0.04589844,0.1777344,-1.010254
-0.04614258,0.1779785,-1.012451
-0.04614258,0.1782227,-1.012207
-0.04541016,0.1774902,-1.010498
-0.04492188,0.1767578,-1.011963
-0.04418945,0.177002,-1.011719
-0.04394531,0.1765137,-1.01001
-0.04443359,0.175293,-1.010986
-0.04467773,0.1750488,-1.010986
-0.04443359,0.1748047,-1.010254
-0.04443359,0.1750488,-1.012939
-0.04418945,0.175293,-1.012451
-0.04443359,0.1757813,-1.009033
-0.04492188,0.177002,-1.01001
-0.04492188,0.1767578,-1.007813
-0.04516602,0.1765137,-1.01001
-0.04516602,0.1767578,-1.01123
-0.04541016,0.177002,-1.009766
-0.04589844,0.1779785,-1.011719
-0.04614258,0.1784668,-1.012695
-0.04589844,0.1787109,-1.012207
-0.0456543,0.1782227,-1.013184
-0.04589844,0.1777344,-1.013916
-0.04614258,0.1777344,-1.011719
-0.046875,0.1782227,-1.011963
-0.046875,0.1779785,-1.011963
-0.0456543,0.1772461,-1.011719
-0.04345703,0.175293,-1.011963
-0.04321289,0.1755371,-1.01001
-0.04370117,0.1762695,-1.008057
-0.04467773,0.1774902,-1.01001
-0.04516602,0.1772461,-1.009766
-0.04541016,0.1772461,-1.010498
-0.04638672,0.177002,-1.010986
-0.046875,0.1777344,-1.012207
-0.04663086,0.1782227,-1.011475
-0.04663086,0.1787109,-1.011963
-0.04589844,0.1779785,-1.010742
-0.04492188,0.1772461,-1.010498
-0.04443359,0.1765137,-1.011475
-0.04418945,0.1762695,-1.011963
-0.04516602,0.1765137,-1.010986
-0.04589844,0.1772461,-1.011963
-0.0456543,0.1784668,-1.011475
-0.04541016,0.1789551,-1.012695
-0.04638672,0.1784668,-1.013184
-0.046875,0.1782227,-1.01416
-0.04711914,0.1779785,-1.011719
-0.046875,0.1787109,-1.011963
-0.04589844,0.1784668,-1.012695
-0.04516602,0.1774902,-1.013672
-0.04541016,0.177002,-1.014404
-0.04467773,0.1767578,-1.014893
-0.04467773,0.1757813,-1.011475
